iter	RMSE
123	0.1664606822
124	0.166458966
125	0.1664469175
126	0.1664468864
127	0.1664070377
128	0.1663759709
129	0.1663688093
130	0.1663398351
131	0.1663172663
132	0.1662917153
133	0.1662292571
134	0.1661848786
135	0.1661496285
136	0.1661291756
137	0.1661030901
138	0.1660761814
139	0.1660183906
140	0.1660021515
141	0.1660006713
142	0.1659781953
143	0.1659767556
144	0.1659541658
145	0.1659436091
146	0.1659264815
147	0.1659239677
148	0.165895205
149	0.1658549608
150	0.1658280997
151	0.1658220189
152	0.1658215859
153	0.1658005416
154	0.1657631778
155	0.1657458858
156	0.1657244521
157	0.1656945371
158	0.1656636778
159	0.1656415405
160	0.1656289482
161	0.1656073126
162	0.1655779711
163	0.1655453637
164	0.1655145196
165	0.16550341
166	0.1654882941
167	0.1654681503
168	0.1654312106
169	0.1654038424
170	0.1653782442
171	0.1653374722
172	0.1653274284
173	0.1653024511
174	0.1652731386
175	0.1652502873
176	0.1652403175
177	0.1652253713
178	0.1652029176
179	0.1652015409
180	0.1651778711
181	0.1651492643
182	0.1651200919
183	0.1650876481
184	0.1650567419
185	0.1650387332
186	0.1649999298
187	0.1649686118
188	0.1649328862
189	0.164917285
190	0.1648928404
191	0.1648719975
192	0.1648461905
193	0.1648059091
194	0.1647869775
195	0.1647695624
196	0.1647522792
197	0.1647311412
198	0.1647181796
199	0.1646928033
200	0.1646670236
201	0.1646454865
202	0.1646177712
203	0.1645732611
204	0.1645542666
205	0.1645295517
206	0.1645164831
207	0.1644923634
208	0.1644711034
209	0.1644546327
210	0.1644423869
211	0.1644116462
212	0.1643945883
213	0.1643784471
214	0.1643633422
215	0.1643462155
216	0.1643049032
217	0.1642809035
218	0.1642673443
219	0.1642496367
220	0.1642329107
221	0.1642197868
222	0.16419593
223	0.1641859662
224	0.1641634875
225	0.1641458766
226	0.1641261346
227	0.1641138927
228	0.1641027195
229	0.1640850958
230	0.1640691887
231	0.1640273408
232	0.1640059962
233	0.1639800291
234	0.1639618402
235	0.1639433275
236	0.1639223061
237	0.1638892305
238	0.1638569001
239	0.1638488652
240	0.1638331968
241	0.1638179252
242	0.1637908475
243	0.1637772375
244	0.1637615964
245	0.1637381886
246	0.1637165583
247	0.163698812
248	0.1636727474
249	0.1636388383
250	0.1636252704
251	0.1635980844
252	0.1635810386
253	0.1635520713
254	0.1635320252
255	0.1635102892
256	0.1634945736
257	0.1634830918
258	0.1634703348
259	0.1634483681
260	0.1634209395
261	0.1634034745
262	0.1633914253
263	0.1633794281
264	0.1633621833
265	0.1633322331
266	0.1633197923
267	0.1632979072
268	0.163278015
269	0.1632666806
270	0.1632509941
271	0.163227825
272	0.163205847
273	0.1631846235
274	0.1631728899
275	0.1631658243
276	0.1631475768
277	0.1631365437
278	0.1631098731
279	0.1630815168
280	0.1630699767
281	0.1630563272
282	0.1630396125
283	0.1630200399
284	0.1630010038
285	0.1629900931
286	0.1629775232
287	0.1629477554
288	0.1629380062
289	0.162925154
290	0.1629157999
291	0.1629011007
292	0.162879444
293	0.1628640063
294	0.1628520543
295	0.1628281663
296	0.1628164945
297	0.1627954752
298	0.1627802754
299	0.1627573773
300	0.1627381179
301	0.1627170785
302	0.1627089012
303	0.1626970242
304	0.1626822165
305	0.1626653036
306	0.1626485459
307	0.1626364652
308	0.1626279794
309	0.1626067781
310	0.1625966496
311	0.1625783419
312	0.1625658896
313	0.1625561935
314	0.1625450645
315	0.162530723
316	0.162520168
317	0.1625022743
318	0.1624905608
319	0.162478671
320	0.1624675902
321	0.1624550185
322	0.1624418463
323	0.1624245443
324	0.1624060457
325	0.1623927223
326	0.1623833224
327	0.162371605
328	0.1623576555
329	0.1623425821
330	0.1623314201
331	0.1623124743
332	0.1622954484
333	0.1622786676
334	0.1622659397
335	0.1622509681
336	0.1622352676
337	0.1622209555
338	0.1622110653
339	0.1622057414
340	0.162193079
341	0.1621841608
342	0.1621724667
343	0.1621595352
344	0.1621543924
345	0.1621467704
346	0.162131724
347	0.1621151004
348	0.1621051297
349	0.1620965795
350	0.1620871037
351	0.1620745638
352	0.162060194
353	0.1620414387
354	0.1620284966
355	0.162015265
356	0.1620009198
357	0.1619849761
358	0.1619747218
359	0.1619524489
360	0.1619412256
361	0.1619248167
362	0.1619105217
363	0.1618976104
364	0.1618833533
365	0.1618746555
366	0.1618640292
367	0.1618549633
368	0.1618401734
369	0.1618302237
370	0.1618160107
371	0.1618062164
372	0.161797252
373	0.1617867757
374	0.1617735736
375	0.1617579499
376	0.1617447059
377	0.1617382175
378	0.1617320628
379	0.1617152194
380	0.1616923228
381	0.1616787238
382	0.1616695473
383	0.1616647481
384	0.1616597192
385	0.1616469834
386	0.1616359357
387	0.1616254405
388	0.1616173903
389	0.1616047557
390	0.1615970623
391	0.1615853893
392	0.1615673198
393	0.1615571107
394	0.1615504641
395	0.1615367133
396	0.1615277253
397	0.1615127104
398	0.1615023862
399	0.161493969
400	0.1614833234
401	0.1614778778
402	0.1614679144
403	0.1614608009
404	0.1614519223
405	0.1614421778
406	0.1614237326
407	0.1614181421
408	0.1614102077
409	0.1614069547
410	0.1613956524
411	0.1613851251
412	0.1613785198
413	0.1613692711
414	0.1613584918
415	0.1613537124
416	0.1613383024
417	0.1613252122
418	0.1613141266
419	0.1613054407
420	0.1612992777
421	0.1612884919
422	0.1612795425
423	0.1612715062
424	0.1612651326
425	0.1612546677
426	0.1612497466
427	0.1612455061
428	0.1612313272
429	0.1612204584
430	0.1612019356
431	0.1611954821
432	0.1611895341
433	0.1611828681
434	0.1611750844
435	0.1611683681
436	0.1611545227
437	0.1611473466
438	0.1611365194
439	0.1611264652
440	0.1611131772
441	0.161107888
442	0.1611006202
443	0.1610910013
444	0.1610827436
445	0.1610642964
446	0.1610567204
447	0.1610449614
448	0.1610342375
449	0.1610274651
450	0.1610205376
451	0.1610119245
452	0.1610064595
453	0.1610002029
454	0.1609883031
455	0.1609803447
456	0.1609710417
457	0.1609635807
458	0.1609498246
459	0.1609423142
460	0.1609342513
461	0.1609237407
462	0.1609168542
463	0.1609104218
464	0.1609053311
465	0.1608932972
466	0.1608862559
467	0.1608800951
468	0.1608668308
469	0.1608576032
470	0.1608509645
471	0.1608454115
472	0.1608337973
473	0.1608213226
474	0.1608122537
475	0.1608059803
476	0.1608005924
477	0.1607957757
478	0.1607916328
479	0.1607762743
480	0.1607724012
481	0.1607587059
482	0.1607537356
483	0.1607468167
484	0.160734905
485	0.1607278662
486	0.1607214108
487	0.1607153403
488	0.1607021602
489	0.1606922407
490	0.1606863307
491	0.160672146
492	0.1606655
493	0.1606564883
494	0.1606504948
495	0.1606378462
496	0.1606265594
497	0.1606134365
498	0.16059926
499	0.160588565
500	0.1605834672
501	0.160576858
502	0.1605681525
503	0.1605561957
504	0.16055048
505	0.1605399087
506	0.1605308299
507	0.1605239229
508	0.1605131115
509	0.160506584
510	0.1604972926
511	0.1604930104
512	0.1604883233
513	0.1604851835
514	0.1604776617
515	0.1604708117
516	0.160467347
517	0.1604558504
518	0.1604463333
519	0.1604356315
520	0.1604265013
521	0.1604223193
522	0.1604156748
523	0.1604036234
524	0.1603996374
525	0.1603917023
526	0.1603827536
527	0.1603735865
528	0.1603677586
529	0.1603604424
530	0.160348233
531	0.1603433184
532	0.1603401078
533	0.1603306795
534	0.160326875
535	0.1603189859
536	0.1603116283
537	0.1603039367
538	0.1602956425
539	0.1602910037
540	0.1602845888
541	0.1602774067
542	0.1602672407
543	0.1602603885
544	0.1602515805
545	0.1602470987
546	0.1602345874
547	0.1602292006
548	0.16022266
549	0.1602181687
550	0.1602120837
551	0.1602056099
552	0.1602008569
553	0.1601965283
554	0.1601802741
555	0.1601760563
556	0.1601668263
557	0.1601592404
558	0.1601558075
559	0.1601476944
560	0.1601409007
561	0.1601370272
562	0.1601307286
563	0.1601255123
564	0.1601209945
565	0.1601176299
566	0.1601129982
567	0.1601102375
568	0.1601065157
569	0.1600986103
570	0.1600912201
571	0.1600829
572	0.1600784756
573	0.1600760672
574	0.1600709114
575	0.1600636574
576	0.1600594169
577	0.160054303
578	0.1600501024
579	0.1600447325
580	0.1600382206
581	0.1600339657
582	0.160027435
583	0.1600233392
584	0.1600197004
585	0.1600126528
586	0.160006274
587	0.160003236
588	0.1599988194
589	0.1599909481
590	0.1599853216
591	0.1599757296
592	0.159968709
593	0.1599542393
594	0.1599502475
595	0.1599436941
596	0.1599313487
597	0.1599271684
598	0.1599192252
599	0.1599160125
600	0.1599123606
601	0.1599057868
602	0.1599017423
603	0.159898637
604	0.15989398
605	0.1598882484
606	0.1598867867
607	0.1598762856
608	0.1598710614
609	0.1598667021
610	0.1598538841
611	0.1598489067
612	0.1598408839
613	0.159836376
614	0.159821524
615	0.1598122845
616	0.1598083987
617	0.159800572
618	0.1597961113
619	0.1597916894
620	0.159786451
621	0.1597847867
622	0.159778207
623	0.1597730595
624	0.1597635249
625	0.1597619089
626	0.1597580808
627	0.1597524941
628	0.1597438269
629	0.1597392146
630	0.1597349456
631	0.1597325384
632	0.1597266386
633	0.1597218288
634	0.1597160198
635	0.1597127017
636	0.1597022946
637	0.1596979536
638	0.1596948732
639	0.1596889421
640	0.1596827784
641	0.1596701652
642	0.1596675638
643	0.1596634413
644	0.1596558294
645	0.1596517926
646	0.1596433717
647	0.1596395494
648	0.159637537
649	0.1596310328
650	0.1596252759
651	0.1596210898
652	0.1596180929
653	0.159607493
654	0.1596014299
655	0.159594389
656	0.1595892296
657	0.1595847013
658	0.1595799484
659	0.1595760695
660	0.159568945
661	0.1595651103
662	0.1595595132
663	0.1595560227
664	0.1595480261
665	0.1595452805
666	0.1595333871
667	0.1595281526
668	0.1595240934
669	0.1595188991
670	0.1595133276
671	0.1595108301
672	0.1595090958
673	0.1595047719
674	0.1595023448
675	0.1594891306
676	0.1594832945
677	0.1594808154
678	0.1594784732
679	0.1594750133
680	0.1594682136
681	0.1594616845
682	0.1594583798
683	0.1594531621
684	0.1594435332
685	0.1594373541
686	0.1594327186
687	0.1594309429
688	0.1594300155
689	0.1594230822
690	0.159412048
691	0.1594089694
692	0.1593991879
693	0.1593972174
694	0.1593907365
695	0.1593789919
696	0.1593759342
697	0.1593724947
698	0.1593689439
699	0.1593667586
700	0.1593627192
701	0.1593592611
702	0.1593572351
703	0.1593510506
704	0.1593458592
705	0.1593417444
706	0.159337138
707	0.1593351683
708	0.1593304762
709	0.1593284985
710	0.1593250743
711	0.1593212722
712	0.159317694
713	0.1593136958
714	0.1593087742
715	0.1592987679
716	0.1592931276
717	0.1592873904
718	0.1592854918
719	0.1592834388
720	0.1592800819
721	0.1592770093
722	0.1592731389
723	0.1592696018
724	0.1592609683
725	0.15925874
726	0.1592560071
727	0.1592521477
728	0.1592494863
729	0.1592462246
730	0.159242632
731	0.1592382773
732	0.1592354382
733	0.159231688
734	0.1592254592
735	0.1592172848
736	0.1592120384
737	0.159208217
738	0.1592054612
739	0.1592040425
740	0.1591997202
741	0.1591950663
742	0.159187651
743	0.1591855643
744	0.1591836066
745	0.1591809028
746	0.159178543
747	0.1591764142
748	0.1591746391
749	0.1591703427
750	0.159164103
751	0.1591559388
752	0.1591536755
753	0.1591506899
754	0.159148304
755	0.1591439578
756	0.1591410415
757	0.15913988
758	0.1591374567
759	0.1591331089
760	0.1591310587
761	0.159128716
762	0.1591276665
763	0.1591249249
764	0.159123216
765	0.1591133911
766	0.1591072487
767	0.1591021948
768	0.1590992153
769	0.159094897
770	0.1590928053
771	0.1590903453
772	0.1590824586
773	0.1590781839
774	0.1590736866
775	0.1590674645
776	0.1590645708
777	0.1590601303
778	0.1590537028
779	0.1590497787
780	0.1590460403
781	0.1590429903
782	0.1590405923
783	0.1590378044
784	0.1590356375
785	0.1590330594
786	0.1590295883
787	0.1590282455
788	0.15902023
789	0.1590186501
790	0.1590130661
791	0.1590118592
792	0.1590088047
793	0.1590046939
794	0.1590024435
795	0.1589999521
796	0.1589961502
797	0.1589936481
798	0.1589921903
799	0.1589886994
800	0.1589859663
801	0.158982546
802	0.1589794933
803	0.1589735819
804	0.1589651591
805	0.1589581473
806	0.158954055
807	0.1589511834
808	0.1589370298
809	0.158934197
810	0.1589315758
811	0.1589279751
812	0.1589255572
813	0.158922265
814	0.1589196279
815	0.1589178026
816	0.1589163284
817	0.158913736
818	0.158910558
819	0.1589074644
820	0.1589060845
821	0.1589007337
822	0.1588979696
823	0.1588947053
824	0.1588844061
825	0.1588817216
826	0.1588787983
827	0.1588753183
828	0.1588721824
829	0.1588688296
830	0.1588639487
831	0.158862666
832	0.1588580606
833	0.158853582
834	0.1588502257
835	0.1588449553
836	0.1588425051
837	0.1588389945
838	0.1588353413
839	0.1588315576
840	0.158829561
841	0.1588268565
842	0.1588231869
843	0.1588206823
844	0.1588174858
845	0.1588156782
846	0.1588146999
847	0.1588053227
848	0.1588023565
849	0.1588008033
850	0.1587983888
851	0.1587959046
852	0.1587947662
853	0.1587914275
854	0.1587881928
855	0.1587850171
856	0.1587785216
857	0.1587730988
858	0.1587696285
859	0.1587667266
860	0.1587641854
861	0.1587625719
862	0.1587602759
863	0.1587576412
864	0.1587563468
865	0.1587526672
866	0.1587464017
867	0.1587439013
868	0.15874198
869	0.1587391762
870	0.1587373053
871	0.1587347157
872	0.1587299836
873	0.1587266433
874	0.1587220054
875	0.158715839
876	0.1587145758
877	0.1587132944
878	0.1587100188
879	0.1587056264
880	0.158703851
881	0.1587021362
882	0.1586989536
883	0.1586977651
884	0.158695841
885	0.1586931225
886	0.1586919071
887	0.1586906579
888	0.1586893968
889	0.1586850181
890	0.158679133
891	0.1586750887
892	0.158672713
893	0.1586682121
894	0.1586671361
895	0.1586640448
896	0.1586628136
897	0.1586607084
898	0.1586532201
899	0.1586517798
900	0.1586486403
901	0.1586464474
902	0.15864163
903	0.158635094
904	0.1586325843
905	0.158629257
906	0.1586263777
907	0.1586247591
908	0.1586227598
909	0.1586192448
910	0.1586183266
911	0.1586148759
912	0.1586078835
913	0.1586036481
914	0.1586014944
915	0.1585979732
916	0.1585968585
917	0.15859452
918	0.1585916433
919	0.1585869428
920	0.1585847652
921	0.1585829283
922	0.1585811668
923	0.1585778039
924	0.1585709217
925	0.1585681756
926	0.1585642792
927	0.1585637607
928	0.1585593136
929	0.1585547324
930	0.1585501176
931	0.1585463322
932	0.1585378563
933	0.1585350163
934	0.1585328105
935	0.1585317911
936	0.1585286022
937	0.1585263305
938	0.1585225702
939	0.1585220229
940	0.1585210722
941	0.1585132432
942	0.1585125371
943	0.1585114134
944	0.1585094644
945	0.1585073376
946	0.1585060308
947	0.1585015653
948	0.1584992672
949	0.1584939233
950	0.158492446
951	0.1584884569
952	0.1584824864
953	0.1584789762
954	0.1584759181
955	0.1584746564
956	0.1584716704
957	0.1584678306
958	0.1584666231
959	0.1584643894
960	0.1584617093
961	0.158459179
962	0.1584575388
963	0.158456491
964	0.1584548107
965	0.15845294
966	0.1584504621
967	0.1584476391
968	0.1584458464
969	0.1584431634
970	0.1584379396
971	0.1584343276
972	0.1584309085
973	0.1584287592
974	0.158427785
975	0.158423886
976	0.1584202345
977	0.1584155996
978	0.1584132378
979	0.1584097296
980	0.1584083845
981	0.1584051334
982	0.1584017651
983	0.1583998726
984	0.1583983615
985	0.1583906346
986	0.1583860057
987	0.158384235
988	0.1583837401
989	0.158383076
990	0.1583778181
991	0.1583755192
992	0.158368437
993	0.1583655107
994	0.1583583587
995	0.1583557255
996	0.1583530261
997	0.1583478143
998	0.1583472903
999	0.1583438686
